ID: <@195911654263881738> | Kullanıcı: Nick#8174 | Rozet: Early Supporter | Oluşturuldu: 24-06-2016 17:42:58
ID: <@139112214903783424> | Kullanıcı: antd1kbig#8227 | Rozet: Early Supporter | Oluşturuldu: 20-01-2016 00:02:16
ID: <@526362551366320166> | Kullanıcı: Arize#0001 | Rozet: Early Verified Bot Developer | Oluşturuldu: 23-12-2018 14:36:51
ID: <@148882685312499712> | Kullanıcı: atlas#0001 | Rozet: Early Supporter | Oluşturuldu: 15-02-2016 23:06:38
ID: <@144246144896204811> | Kullanıcı: averageCups#0307 | Rozet: Early Supporter | Oluşturuldu: 03-02-2016 04:02:40
ID: <@235563924257243138> | Kullanıcı: Baby Blue#6796 | Rozet: Early Supporter | Oluşturuldu: 12-10-2016 03:46:56
ID: <@147416931291496450> | Kullanıcı: Basick#2316 | Rozet: Early Supporter | Oluşturuldu: 11-02-2016 22:02:15
ID: <@338951577631195137> | Kullanıcı: Baut#0001 | Rozet: Early Supporter | Oluşturuldu: 24-07-2017 10:52:33
ID: <@329330753664188419> | Kullanıcı: bella#7824 | Rozet: Early Supporter | Oluşturuldu: 27-06-2017 21:42:50
ID: <@499395882211344395> | Kullanıcı: Bimmy | Koi.JP#0001 | Rozet: Early Supporter | Oluşturuldu: 10-10-2018 04:40:56
ID: <@337474855517683714> | Kullanıcı: BlackouT#4337 | Rozet: Early Supporter | Oluşturuldu: 20-07-2017 09:04:35
ID: <@217462689553842177> | Kullanıcı: Blacktivist#0047 | Rozet: Early Supporter | Oluşturuldu: 23-08-2016 04:59:05
ID: <@227053175192944641> | Kullanıcı: bradley#0001 | Rozet: Early Supporter | Oluşturuldu: 18-09-2016 16:08:15
ID: <@215945971731922944> | Kullanıcı: chen#7925 | Rozet: Early Supporter | Oluşturuldu: 19-08-2016 00:32:11
ID: <@160562460183494656> | Kullanıcı: Chris#7654 | Rozet: Early Supporter | Oluşturuldu: 19-03-2016 04:37:53
ID: <@358406481428611074> | Kullanıcı: chroma#1100 | Rozet: Early Supporter | Oluşturuldu: 16-09-2017 03:19:24
ID: <@195413444986535936> | Kullanıcı: clairo#1629 | Rozet: Early Supporter | Oluşturuldu: 23-06-2016 08:43:15
ID: <@388875532248285204> | Kullanıcı: cody#6666 | Rozet: Early Supporter | Oluşturuldu: 09-12-2017 05:12:31
ID: <@113498007525208064> | Kullanıcı: colty#3068 | Rozet: Early Supporter | Oluşturuldu: 10-11-2015 07:40:33
ID: <@365236672834568233> | Kullanıcı: Cpt.Brexit#9633 | Rozet: Early Supporter | Oluşturuldu: 04-10-2017 23:40:08
ID: <@219315915865587712> | Kullanıcı: culex#2735 | Rozet: Early Supporter | Oluşturuldu: 28-08-2016 07:43:09
ID: <@217632920398069762> | Kullanıcı: declate#2732 | Rozet: Early Supporter | Oluşturuldu: 23-08-2016 16:15:31
ID: <@392715911225671681> | Kullanıcı: DinoBite#0002 | Rozet: Early Supporter | Oluşturuldu: 19-12-2017 19:32:49
ID: <@127510259076956160> | Kullanıcı: Doja#0001 | Rozet: Early Supporter | Oluşturuldu: 18-12-2015 23:40:14
ID: <@101063132620795904> | Kullanıcı: dRossi#0007 | Rozet: Early Supporter | Oluşturuldu: 07-10-2015 00:08:48
ID: <@190580791317757952> | Kullanıcı: edwwie✧#8434 | Rozet: Early Supporter | Oluşturuldu: 10-06-2016 00:40:01
ID: <@148165134693564416> | Kullanıcı: FED#7777 | Rozet: Early Supporter | Oluşturuldu: 13-02-2016 23:35:20
ID: <@110133289901137920> | Kullanıcı: Fookie#0004 | Rozet: Early Supporter | Oluşturuldu: 01-11-2015 00:50:22
ID: <@243688438795075595> | Kullanıcı: fwexY#5163 | Rozet: Early Supporter | Oluşturuldu: 03-11-2016 13:50:51
ID: <@209832968074690560> | Kullanıcı: Garrett#6127 | Rozet: Early Supporter | Oluşturuldu: 02-08-2016 03:41:18
ID: <@337385663840124930> | Kullanıcı: GestureJester#3809 | Rozet: Early Supporter | Oluşturuldu: 20-07-2017 03:10:10
ID: <@411880074975903744> | Kullanıcı: hash#0004 | Rozet: Early Supporter | Oluşturuldu: 10-02-2018 16:44:22
ID: <@369743541217263617> | Kullanıcı: Hatz#1187 | Rozet: Early Supporter | Oluşturuldu: 17-10-2017 10:08:49
ID: <@280497609859268609> | Kullanıcı: Hοllywood#0001 | Rozet: Early Supporter | Oluşturuldu: 13-02-2017 03:37:21
ID: <@110789388270596096> | Kullanıcı: Inffy#0004 | Rozet: Early Supporter | Oluşturuldu: 02-11-2015 20:17:28
ID: <@351009666488205314> | Kullanıcı: jonny!#2688 | Rozet: Early Supporter | Oluşturuldu: 26-08-2017 17:27:05
ID: <@263691625115418634> | Kullanıcı: Kaiss#1048 | Rozet: Early Supporter | Oluşturuldu: 28-12-2016 18:36:22
ID: <@381196223207440385> | Kullanıcı: Kaj#1234 | Rozet: Early Supporter | Oluşturuldu: 18-11-2017 00:37:41
ID: <@191611814562365441> | Kullanıcı: karl#0069 | Rozet: Early Supporter | Oluşturuldu: 12-06-2016 20:56:56
ID: <@155627164958457856> | Kullanıcı: Kimtripul#0021 | Rozet: Early Supporter | Oluşturuldu: 05-03-2016 13:46:47
ID: <@107956275488231424> | Kullanıcı: kiriune#8839 | Rozet: Early Supporter | Oluşturuldu: 26-10-2015 00:39:41
ID: <@278689552460283906> | Kullanıcı: Korewa#2564 | Rozet: Early Supporter | Oluşturuldu: 08-02-2017 03:52:47
ID: <@158296397857161216> | Kullanıcı: Leon#0420 | Rozet: Early Supporter | Oluşturuldu: 12-03-2016 22:33:22
ID: <@257872791066509313> | Kullanıcı: Lewis#0002 | Rozet: Early Supporter | Oluşturuldu: 12-12-2016 17:14:24
ID: <@477904414565204008> | Kullanıcı: Liran#8864 | Rozet: Early Verified Bot Developer | Oluşturuldu: 11-08-2018 21:21:31
ID: <@68086363529940992> | Kullanıcı: loogi#6848 | Rozet: Early Supporter | Oluşturuldu: 08-07-2015 00:10:54
ID: <@488524207026733064> | Kullanıcı: Lupis#3300 | Rozet: Early Supporter | Oluşturuldu: 10-09-2018 04:40:47
ID: <@213016230699728907> | Kullanıcı: m.#0001 | Rozet: Early Supporter | Oluşturuldu: 10-08-2016 22:30:27
ID: <@329580375783505922> | Kullanıcı: Mad#3430 | Rozet: Early Supporter | Oluşturuldu: 28-06-2017 14:14:44
ID: <@335324106004103169> | Kullanıcı: Maiky#5068 | Rozet: Early Supporter | Oluşturuldu: 14-07-2017 10:38:16
ID: <@195208373996617729> | Kullanıcı: Mason#0003 | Rozet: Early Supporter | Oluşturuldu: 22-06-2016 19:08:23
ID: <@128509751846895616> | Kullanıcı: Mazz#0001 | Rozet: Early Supporter | Oluşturuldu: 21-12-2015 17:51:52
ID: <@206581198921662465> | Kullanıcı: MechanicalNinja#8585 | Rozet: Early Supporter | Oluşturuldu: 24-07-2016 04:19:55
ID: <@222401990326484992> | Kullanıcı: MinePup#4929 | Rozet: Early Supporter | Oluşturuldu: 05-09-2016 20:06:06
ID: <@446505947104411648> | Kullanıcı: minty#3536 | Rozet: Early Supporter | Oluşturuldu: 17-05-2018 05:55:13
ID: <@155194667414061056> | Kullanıcı: nakED haydne#2416 | Rozet: Early Supporter | Oluşturuldu: 04-03-2016 09:08:12
ID: <@313285483243372545> | Kullanıcı: no type#8272 | Rozet: Early Supporter | Oluşturuldu: 14-05-2017 15:04:39
ID: <@322738891021090836> | Kullanıcı: Nori#3874 | Rozet: Early Supporter | Oluşturuldu: 09-06-2017 17:09:07
ID: <@207956628534853632> | Kullanıcı: Nyam#0001 | Rozet: Early Supporter | Oluşturuldu: 27-07-2016 23:25:23
ID: <@269704025228705793> | Kullanıcı: Only Fritz#5150 | Rozet: Early Supporter | Oluşturuldu: 14-01-2017 08:47:30
ID: <@147492858151043072> | Kullanıcı: peng ting#3941 | Rozet: Early Supporter | Oluşturuldu: 12-02-2016 03:03:57
ID: <@191346252871368704> | Kullanıcı: Penisfishmeowmeow9#5150 | Rozet: Early Supporter | Oluşturuldu: 12-06-2016 03:21:41
ID: <@209446786568290311> | Kullanıcı: Ping#2325 | Rozet: Early Supporter | Oluşturuldu: 01-08-2016 02:06:45
ID: <@102250961669455872> | Kullanıcı: pr0xi3#0666 | Rozet: Early Supporter | Oluşturuldu: 10-10-2015 06:48:48
ID: <@204240854746005514> | Kullanıcı: Pyrolax#2430 | Rozet: Early Supporter | Oluşturuldu: 17-07-2016 17:20:14
ID: <@319235784534261760> | Kullanıcı: rafy#1968 | Rozet: Early Supporter | Oluşturuldu: 31-05-2017 01:09:02
ID: <@264877319812939776> | Kullanıcı: raphael#1930 | Rozet: Early Supporter | Oluşturuldu: 01-01-2017 01:07:54
ID: <@118043949612007427> | Kullanıcı: RealFoxeh#0001 | Rozet: Early Supporter | Oluşturuldu: 22-11-2015 20:44:30
ID: <@170377568824983552> | Kullanıcı: Riley Utopia#4972 | Rozet: Early Supporter | Oluşturuldu: 15-04-2016 06:39:37
ID: <@158707691848466442> | Kullanıcı: Ryelander#1545 | Rozet: Early Supporter | Oluşturuldu: 14-03-2016 01:47:42
